date,sales,
12/25/2018,42,
11/03/2017,76,
11/03/2017,28,
08/25/2015,41,
08/25/2015,5,
08/25/2015,24,
08/25/2015,131,
03/02/2016,788,
04/05/2016,158,
06/12/2017,48,
06/12/2017,31,
06/12/2017,227,
06/12/2017,116,
06/12/2017,69,
12/26/2015,601,
09/20/2015,618,
11/05/2018,3,
11/05/2018,244,
11/06/2017,82,
11/06/2017,239,
02/02/2018,60,
02/02/2018,79,
02/02/2018,22,
10/13/2017,21,
10/13/2017,36,
10/13/2017,12,
10/13/2017,5,
10/13/2017,77,
10/13/2017,66,
10/13/2017,44,
09/05/2017,83,
09/18/2018,9,
09/18/2018,11,
09/18/2018,144,
12/22/2018,840,
09/07/2016,672,
10/22/2015,94,
12/05/2017,385,
12/05/2017,150,
12/05/2017,1952,
12/05/2017,172,
03/13/2017,158,
03/13/2017,204,
05/31/2016,59,
05/31/2016,106,
05/31/2016,81,
05/28/2016,7,
03/01/2015,458,
11/20/2017,15,
11/20/2017,945,
05/11/2017,6,
12/28/2016,55,
11/16/2017,29,
11/07/2017,28,
09/08/2015,10,
09/08/2015,8160,
09/08/2015,276,
09/08/2015,1741,
09/08/2015,33,
09/08/2015,178,
09/08/2015,144,
08/05/2015,21,
08/05/2015,111,
08/05/2015,341,
09/14/2015,53,
09/14/2015,21,
04/21/2018,98,
11/21/2016,397,
11/21/2016,16,
12/15/2016,4,
12/05/2015,25,
12/05/2015,409,
11/19/2015,504,
11/19/2015,150,
11/19/2015,29,
11/28/2017,8,
08/26/2015,177,
07/16/2017,38,
07/16/2017,21,
10/12/2016,900,
10/12/2016,72,
10/12/2016,52,
10/12/2016,627,
10/12/2016,20,
10/31/2016,15,
03/21/2015,8,
03/21/2015,7,
11/06/2018,47,
07/06/2018,3,
07/06/2018,17,
06/24/2018,22,
08/03/2015,219,
08/03/2015,3,
12/17/2018,67,
06/03/2018,36,
12/09/2018,445,
12/01/2018,84,
12/01/2018,132,
12/01/2018,16,
12/01/2018,53,
12/01/2018,92,
02/09/2016,21,
01/02/2016,24,
01/02/2016,453,
01/02/2016,63,
01/02/2016,1188,
01/02/2016,90,
10/28/2017,94,
10/28/2017,303,
12/24/2016,6,
12/24/2016,23,
12/24/2016,20,
12/24/2016,73,
12/24/2016,480,
12/24/2016,28,
08/09/2016,3,
08/09/2016,623,
08/09/2016,22,
02/28/2016,162,
02/28/2016,390,
09/13/2015,19,
04/07/2018,234,
04/07/2018,621,
04/07/2018,6,
04/07/2018,259,
04/07/2018,618,
11/12/2018,11,
06/04/2017,26,
06/04/2017,420,
06/04/2017,12,
06/04/2017,32,
06/04/2017,178,
06/04/2017,5,
06/04/2017,8,
06/01/2015,2002,
06/01/2015,167,
06/01/2015,48,
06/01/2015,1504,
06/01/2015,26,
12/10/2017,322,
09/11/2017,8,
09/11/2017,3348,
12/10/2017,81,
12/10/2017,362,
11/28/2016,13,
11/28/2016,83,
11/28/2016,54,
11/28/2016,648,
12/01/2018,21,
12/01/2018,222,
12/01/2018,18,
06/08/2018,2,
09/19/2015,3060,
09/19/2015,2520,
06/06/2017,329,
11/10/2016,80,
06/16/2018,15,
01/22/2017,8,
12/09/2018,38,
12/09/2018,58,
12/28/2018,726,
07/30/2016,210,
07/30/2016,6,
07/30/2016,11,
09/16/2018,9,
09/16/2018,6,
10/13/2018,12,
10/13/2018,19,
10/13/2018,60,
10/13/2018,25,
09/26/2016,3,
09/26/2016,1115,
11/02/2016,1039,
09/26/2016,142,
09/26/2016,240,
09/26/2016,32,
12/18/2017,255,
12/18/2017,195,
12/18/2017,962,
11/20/2017,20,
11/20/2017,19,
11/20/2017,256,
11/20/2017,87,
12/26/2015,301,
12/26/2015,231,
12/26/2015,219,
12/26/2015,79,
12/26/2015,28,
10/28/2017,33,
10/28/2017,1083,
10/28/2017,57,
10/28/2017,78,
10/28/2017,15,
11/19/2018,220,
05/04/2016,27,
12/30/2015,10,
06/01/2015,46,
06/01/2015,290,
04/15/2018,5,
09/12/2017,16,
09/12/2017,467,
09/12/2017,16,
09/12/2017,7,
09/27/2015,88,
08/09/2015,179,
08/09/2015,16,
12/28/2015,100,
11/04/2015,136,
11/04/2015,3992,
11/04/2015,276,
11/04/2015,360,
11/04/2015,44,
09/19/2015,8,
04/23/2017,252,
04/23/2017,100,
11/03/2018,16,
08/30/2017,291,
08/30/2017,55,
08/30/2017,787,
08/30/2017,101,
08/30/2017,38,
04/25/2017,83,
04/25/2017,21,
04/25/2017,5,
09/01/2016,5,
09/01/2016,960,
09/01/2016,15,
07/12/2015,8,
07/12/2015,699,
06/22/2016,5,
04/13/2015,18,
04/13/2015,510,
04/13/2015,31,
04/13/2015,72,
12/20/2016,89,
06/15/2018,48,
07/08/2018,8,
07/08/2018,25,
07/08/2018,13,
09/01/2017,7,
09/01/2017,25,
09/01/2017,4,
09/01/2017,50,
09/01/2017,4356,
04/08/2017,389,
04/08/2017,9,
04/08/2017,18,
04/08/2017,35,
04/23/2017,37,
03/08/2018,648,
03/08/2018,21,
09/25/2018,21,
09/25/2018,489,
09/25/2018,6,
09/25/2018,48,
09/24/2015,212,
10/21/2017,24,
10/21/2017,8,
10/21/2017,105,
10/21/2017,1044,
05/29/2018,26,
05/29/2018,54,
07/23/2015,9,
07/23/2015,1024,
07/23/2015,10,
07/23/2015,480,
09/28/2017,100,
08/27/2018,1489,
04/28/2016,9,
04/28/2016,24,
04/28/2016,13,
10/28/2017,51,
10/28/2017,50,
06/26/2016,42,
11/27/2016,376,
11/27/2016,84,
12/03/2016,483,
12/03/2016,3,
11/24/2015,3,
12/11/2018,24,
12/11/2018,40,
09/21/2015,247,
09/21/2015,1800,
06/07/2015,13,
06/30/2018,76,
10/17/2018,50,
10/17/2018,13,
10/31/2016,71,
09/08/2017,36,
09/08/2017,2397,
09/08/2017,132,
09/08/2017,58,
12/24/2015,10,
04/16/2015,40,
12/24/2018,36,
12/08/2018,180,
12/08/2018,1200,
12/08/2018,28,
12/08/2018,1005,
12/08/2018,10,
12/08/2018,29,
12/08/2018,56,
12/08/2018,1337,
12/08/2018,114,
11/03/2018,140,
11/03/2018,308,
06/24/2018,96,
04/14/2017,384,
11/06/2018,6,
03/04/2018,10,
03/04/2018,16,
06/22/2015,197,
10/19/2018,57,
10/19/2018,33,
08/21/2018,867,
11/23/2018,29,
11/23/2018,288,
09/12/2015,70,
10/01/2018,7,
04/15/2017,190,
04/15/2017,409,
04/15/2017,292,
04/15/2017,5,
06/06/2017,715,
12/19/2015,5,
12/19/2015,248,
06/12/2017,1008,
06/12/2017,314,
09/15/2018,32,
01/20/2018,208,
09/05/2017,13,
09/05/2017,195,
09/05/2017,71,
09/05/2017,92,
09/05/2017,243,
09/05/2017,23,
03/20/2018,3,
04/01/2017,60,
04/01/2017,162,
04/01/2017,264,
04/01/2017,31,
04/01/2017,10,
04/01/2017,36,
10/20/2018,285,
10/20/2018,666,
12/13/2017,64,
02/12/2015,130,
09/26/2017,748,
09/26/2017,9,
12/15/2016,104,
12/15/2016,900,
12/15/2016,52,
04/22/2017,24,
04/22/2017,1273,
04/22/2017,29,
04/22/2017,186,
04/22/2017,79,
01/17/2016,255,
03/31/2018,206,
12/16/2017,5,
12/20/2016,56,
11/09/2015,341,
11/09/2015,223,
11/09/2015,704,
11/09/2015,93,
11/09/2015,63,
11/09/2015,95,
07/12/2017,96,
10/27/2017,41,
06/26/2017,15,
06/26/2017,705,
10/06/2015,10,
07/22/2015,6,
07/22/2015,160,
06/10/2018,30,
06/10/2018,515,
06/10/2018,280,
10/29/2015,2736,
06/09/2015,8,
06/09/2015,64,
06/09/2015,71,
09/14/2015,450,
09/14/2015,12,
05/09/2017,94,
03/18/2017,190,
12/27/2016,106,
07/25/2017,120,
07/25/2017,256,
07/25/2017,242,
07/25/2017,70,
05/30/2017,23,
05/30/2017,15,
05/30/2017,802,
05/30/2017,3,
05/30/2017,33,
11/12/2018,16,
03/16/2016,3,
03/16/2016,9,
03/16/2016,47,
03/16/2016,6355,
11/26/2018,127,
11/26/2018,39,
10/20/2017,8,
12/21/2018,7,
12/21/2018,6,
01/22/2018,3000,
01/22/2018,52,
01/22/2018,12,
01/22/2018,1127,
03/22/2016,19,
03/22/2016,130,
03/22/2016,15,
01/23/2018,211,
05/21/2017,56,
05/21/2017,67,
12/26/2016,23,
10/21/2018,684,
10/21/2018,46,
09/03/2016,37,
09/03/2016,667,
09/03/2016,53,
11/07/2016,191,
09/07/2018,48,
05/29/2017,980,
05/29/2017,23,
07/10/2017,17,
09/03/2018,43,
12/03/2016,11,
12/07/2016,153,
12/07/2016,284,
02/01/2015,469,
07/14/2017,381,
12/18/2016,647,
05/11/2015,59,
05/11/2015,101,
05/11/2015,67,
11/19/2018,42,
11/19/2018,14,
11/15/2016,251,
11/15/2016,12,
11/15/2016,9,
04/15/2017,1122,
09/11/2018,35,
11/24/2018,11,
06/29/2018,1296,
03/03/2015,20,
06/10/2017,21,
06/10/2017,1336,
06/10/2017,33,
11/20/2018,43,
11/20/2018,85,
09/14/2015,13,
09/14/2015,14,
12/07/2016,4,
12/07/2016,3,
12/07/2018,375,
10/01/2018,92,
10/01/2018,82,
10/01/2018,20,
10/01/2018,452,
12/28/2018,73,
12/28/2018,14,
12/28/2018,34,
12/28/2018,15,
11/03/2017,9,
09/18/2016,161,
09/18/2016,20,
09/18/2016,8,
07/20/2018,70,
07/20/2018,9,
09/10/2016,52,
12/01/2018,471,
12/01/2018,106,
12/01/2018,32,
12/01/2018,7,
12/01/2018,407,
07/03/2016,71,
07/03/2016,295,
03/20/2017,85,
03/20/2017,21,
03/20/2017,17,
03/20/2017,11,
01/09/2015,10,
01/09/2015,32,
08/08/2015,77,
08/08/2015,1200,
08/08/2015,446,
08/08/2015,328,
07/14/2017,12,
07/16/2017,144,
07/16/2017,495,
07/16/2017,6,
03/15/2015,143,
03/15/2015,46,
03/15/2015,8,
03/15/2015,44,
03/15/2015,132,
05/23/2015,4,
05/23/2015,22,
05/23/2015,56,
04/28/2017,370,
04/28/2017,16,
09/11/2017,9,
09/11/2017,729,
11/14/2018,120,
11/14/2018,4,
08/18/2018,41,
08/18/2018,10,
08/18/2018,108,
08/18/2018,38,
08/18/2018,89,
12/26/2015,9,
11/29/2016,302,
11/29/2016,556,
11/29/2016,524,
11/29/2016,162,
09/15/2018,36,
05/19/2018,98,
12/17/2018,16,
12/17/2018,14,
12/11/2017,244,
12/11/2017,120,
12/11/2017,301,
09/24/2018,18,
09/24/2018,236,
10/04/2016,393,
08/15/2017,19,
08/15/2017,123,
05/20/2017,1050,
05/20/2017,16,
12/18/2017,19,
07/30/2018,331,
07/30/2018,27,
06/10/2018,133,
07/21/2018,7,
12/30/2018,210,
04/01/2017,32,
04/01/2017,31,
12/11/2017,15,
12/11/2017,303,
12/11/2017,316,
10/23/2017,380,
06/19/2018,98,
06/19/2018,104,
08/22/2017,114,
08/22/2017,4,
08/22/2017,135,
09/19/2017,702,
09/19/2017,3,
08/24/2016,1000,
08/24/2016,725,
08/24/2016,919,
08/24/2016,3,
03/26/2017,460,
11/04/2017,11,
06/08/2018,24,
06/08/2018,86,
06/08/2018,382,
12/24/2015,31,
06/09/2018,24,
06/09/2018,109,
06/09/2018,37,
06/15/2018,20,
12/05/2018,62,
12/05/2018,39,
12/05/2018,100,
03/18/2018,3,
03/18/2018,28,
03/18/2018,83,
03/18/2018,183,
11/19/2017,15,
11/19/2017,65,
11/19/2017,69,
11/04/2018,8000,
11/04/2018,168,
07/05/2015,480,
07/05/2015,15,
07/05/2015,20,
12/25/2018,192,
06/21/2015,105,
06/21/2015,285,
06/21/2015,37,
03/28/2016,167,
03/28/2016,34,
05/14/2016,199,
05/14/2016,48,
05/14/2016,201,
05/14/2016,98,
05/14/2016,3,
05/14/2016,19,
05/14/2016,5,
09/02/2018,16,
11/04/2017,210,
04/09/2016,370,
09/12/2015,11,
09/12/2015,167,
09/12/2015,16,
12/02/2015,120,
12/02/2015,884,
12/02/2015,47,
04/05/2015,56,
09/03/2018,25,
05/19/2018,282,
05/19/2018,308,
05/19/2018,300,
07/01/2015,20,
01/11/2015,10,
09/24/2018,104,
06/02/2015,60,
06/02/2015,74,
02/13/2017,147,
12/15/2017,1653,
12/15/2017,297,
10/07/2015,130,
07/07/2017,46,
09/16/2018,18,
09/16/2018,56,
12/03/2017,183,
12/03/2017,401,
12/03/2017,34,
12/03/2017,543,
12/03/2017,7,
01/21/2018,243,
01/21/2018,180,
01/21/2018,100,
01/21/2018,28,
01/21/2018,85,
01/21/2018,19,
09/08/2015,50,
01/04/2015,12,
01/04/2015,273,
01/04/2015,4,
08/27/2017,52,
08/27/2017,4,
08/27/2017,5,
08/27/2017,56,
05/27/2015,568,
05/27/2015,360,
03/20/2017,12,
10/02/2018,59,
10/02/2018,158,
10/02/2018,57,
10/02/2018,3,
04/07/2017,1200,
12/07/2016,80,
09/18/2017,384,
12/29/2015,25,
12/29/2015,120,
07/23/2018,14,
09/18/2018,23,
08/31/2016,59,
11/03/2018,13,
02/08/2016,108,
01/13/2015,12,
01/13/2015,51,
01/13/2015,647,
01/13/2015,6,
01/13/2015,573,
05/14/2015,311,
05/19/2017,642,
01/30/2018,19,
01/30/2018,207,
01/30/2018,33,
01/30/2018,8,
01/30/2018,41,
01/30/2018,35,
06/29/2015,33,
08/21/2016,545,
08/21/2016,60,
08/21/2016,24,
08/21/2016,5,
10/03/2016,33,
10/03/2016,24,
10/03/2016,36,
10/03/2016,48,
05/23/2016,187,
03/17/2018,18,
12/12/2016,349,
06/26/2016,144,
06/26/2016,16,
06/26/2016,44,
06/26/2016,333,
05/20/2017,1364,
09/20/2015,10,
09/20/2015,22,
09/21/2018,21,
12/24/2016,133,
12/24/2016,13,
12/24/2016,22,
11/27/2016,284,
02/20/2018,23,
02/20/2018,216,
08/18/2017,356,
03/12/2017,13,
04/22/2018,19,
11/01/2015,44,
11/01/2015,1984,
02/03/2016,29,
02/03/2016,150,
10/13/2015,12,
10/13/2015,1299,
10/13/2015,214,
10/13/2015,26,
05/14/2018,19,
05/14/2018,1400,
03/20/2016,52,
09/15/2017,6,
06/28/2015,42,
06/28/2015,4,
06/28/2015,1229,
06/28/2015,32,
06/28/2015,336,
06/20/2018,240,
06/20/2018,10,
05/09/2015,68,
05/09/2015,168,
08/21/2018,35,
08/21/2018,38,
08/21/2018,16,
06/16/2018,302,
06/16/2018,181,
06/16/2018,192,
06/16/2018,66,
07/23/2017,36,
07/23/2017,24,
07/23/2017,266,
09/08/2015,52,
11/04/2018,10,
03/07/2017,22,
11/20/2016,61,
11/20/2016,12,
11/20/2016,187,
11/07/2017,38,
11/07/2017,27,
11/07/2017,12,
11/07/2017,15,
10/13/2016,84,
10/13/2016,288,
01/01/2018,49,
02/07/2015,116,
06/20/2017,6,
06/20/2017,39,
05/28/2017,186,
02/19/2017,45,
02/19/2017,243,
08/03/2015,40,
08/03/2015,103,
08/03/2015,22,
04/10/2018,8,
04/10/2018,8,
06/09/2015,8,
06/09/2015,24,
01/05/2017,192,
01/05/2017,6,
01/05/2017,60,
01/10/2015,3,
01/10/2015,52,
09/29/2017,16,
04/06/2015,45,
09/03/2017,1142,
09/03/2017,281,
10/19/2016,35,
12/10/2015,12,
12/10/2015,107,
08/25/2018,193,
01/17/2017,323,
01/17/2017,30,
01/17/2017,372,
09/17/2015,6,
11/30/2018,69,
11/30/2018,1243,
10/09/2016,31,
12/23/2018,14,
10/22/2017,32,
04/29/2015,18,
04/25/2016,14,
06/26/2018,84,
10/14/2018,38,
12/09/2015,35,
06/20/2018,150,
06/20/2018,52,
06/26/2018,5,
06/26/2018,16,
06/26/2018,544,
11/10/2017,156,
11/10/2017,71,
10/03/2017,16,
09/09/2015,104,
10/29/2018,47,
04/10/2017,9,
11/11/2018,11,
11/11/2018,19,
09/15/2018,324,
04/08/2017,21,
04/08/2017,65,
04/08/2017,13,
12/30/2018,324,
12/30/2018,91,
12/30/2018,53,
09/02/2018,1200,
09/02/2018,1929,
09/02/2018,353,
05/31/2016,23,
11/27/2018,47,
11/27/2018,144,
06/15/2015,100,
06/15/2015,798,
06/15/2015,9,
03/05/2017,150,
03/05/2017,13,
12/05/2015,25,
04/11/2016,86,
04/11/2016,22,
04/11/2016,407,
09/15/2017,842,
09/13/2015,16,
09/13/2015,252,
10/05/2016,47,
10/05/2016,29,
04/14/2018,15,
04/14/2018,90,
04/14/2018,14,
09/02/2018,13,
06/20/2017,46,
06/20/2017,30,
06/20/2017,16,
06/20/2017,448,
11/05/2018,160,
12/13/2016,13,
12/13/2016,135,
06/19/2017,18,
12/13/2017,7,
12/13/2017,1115,
05/29/2016,33,
05/29/2016,541,
05/29/2016,168,
07/26/2016,394,
11/28/2018,517,
11/28/2018,1008,
11/28/2018,2066,
11/28/2018,16,
11/28/2018,26,
04/03/2018,26,
12/28/2018,28,
12/28/2018,79,
11/30/2018,174,
05/15/2018,30,
05/15/2018,5,
05/15/2018,16,
09/22/2016,205,
11/14/2018,322,
11/27/2016,7,
09/01/2017,22,
09/22/2015,5,
04/09/2018,10,
04/09/2018,36,
04/09/2018,13,
04/09/2018,192,
04/09/2018,9,
04/09/2018,502,
01/16/2015,128,
01/16/2015,125,
01/16/2015,19,
01/16/2015,31,
10/05/2018,161,
10/05/2018,76,
07/09/2018,2,
01/07/2018,3060,
05/30/2017,4,
12/09/2016,35,
10/03/2017,600,
11/11/2015,4,
11/11/2015,560,
11/11/2015,604,
09/29/2018,8,
09/29/2018,28,
09/29/2018,337,
03/10/2016,2,
05/21/2018,521,
05/21/2018,18,
03/29/2016,1167,
09/09/2017,15,
08/26/2017,11,
08/26/2017,155,
05/21/2015,2716,
05/21/2015,618,
10/28/2016,11,
10/28/2016,37,
10/28/2016,25,
10/28/2016,34,
11/13/2017,45,
07/31/2016,2310,
07/31/2016,1091,
07/31/2016,20,
08/27/2016,485,
11/13/2016,116,
11/06/2016,8,
11/06/2016,5,
12/26/2018,45,
08/01/2018,96,
11/24/2015,152,
06/17/2018,156,
06/17/2018,15,
12/21/2016,1619,
12/21/2016,100,
09/17/2016,33,
07/06/2016,14,
07/06/2016,156,
07/06/2016,125,
07/06/2016,602,
04/27/2016,23,
04/27/2016,1268,
04/27/2016,1380,
06/16/2016,7,
12/17/2018,12,
01/11/2017,16,
01/11/2017,64,
01/11/2017,16,
07/11/2015,178,
07/11/2015,198,
07/11/2015,855,
07/11/2015,125,
07/11/2015,15,
11/20/2017,16,
11/20/2017,3,
11/20/2017,15,
04/22/2017,87,
06/13/2016,37,
11/20/2018,24,
11/20/2018,29,
03/20/2017,698,
09/06/2017,32,
09/06/2017,723,
07/09/2018,9,
07/09/2018,59,
10/12/2018,255,
03/08/2017,1364,
03/08/2017,103,
05/27/2015,1114,
05/27/2015,100,
07/03/2016,169,
07/03/2016,7,
07/03/2016,283,
04/04/2016,12,
04/04/2016,109,
04/04/2016,83,
04/04/2016,10,
12/10/2018,20,
12/10/2018,66,
11/24/2017,5,
03/23/2016,108,
04/16/2016,46,
04/16/2016,11,
04/16/2016,8,
04/16/2016,119,
04/16/2016,2,
04/16/2016,56,
10/01/2017,195,
09/28/2018,2,
07/25/2016,26,
11/20/2016,20,
04/28/2017,30,
11/14/2018,9,
11/12/2017,7,
11/12/2017,5,
11/12/2017,32,
09/29/2017,41,
09/23/2018,120,
09/23/2018,32,
09/23/2018,7,
11/29/2016,20,
11/29/2016,1107,
03/01/2017,837,
03/01/2017,27,
03/01/2017,363,
03/01/2017,4900,
08/12/2017,7,
08/15/2017,72,
08/15/2017,4,
06/04/2018,32,
06/04/2018,72,
12/06/2016,121,
12/06/2016,220,
12/27/2016,29,
12/27/2016,356,
01/21/2018,349,
01/21/2018,36,
06/25/2015,448,
06/14/2017,8,
06/14/2017,9,
06/14/2017,30,
06/14/2017,9,
04/21/2018,3,
04/21/2018,3,
10/21/2017,23,
11/19/2017,101,
11/19/2017,3,
11/19/2017,11,
11/19/2017,59,
11/19/2017,41,
11/19/2017,72,
11/19/2017,11,
11/19/2017,2,
12/18/2018,47,
12/18/2018,120,
12/18/2018,120,
07/22/2017,7,
09/04/2016,280,
09/04/2016,620,
09/04/2016,16,
01/20/2015,700,
01/20/2015,23,
01/20/2015,39,
01/20/2015,7,
01/20/2015,24,
01/20/2015,1068,
03/02/2016,11,
03/02/2016,102,
04/12/2017,344,
04/12/2017,41,
04/12/2017,64,
12/06/2017,20,
06/05/2017,125,
06/05/2017,8,
12/11/2017,86,
11/12/2017,288,
11/12/2017,38,
11/12/2017,20,
11/12/2017,21,
11/12/2017,18,
09/29/2015,205,
09/29/2015,9,
09/29/2015,7,
09/29/2015,687,
09/29/2015,63,
04/04/2016,645,
04/04/2016,6,
04/04/2016,13,
04/04/2016,11,
04/04/2016,600,
05/08/2016,9,
12/31/2017,4,
12/31/2017,160,
12/20/2015,123,
12/20/2015,2245,
12/20/2015,63,
12/20/2015,456,
07/02/2017,196,
06/29/2018,363,
06/29/2018,12,
09/01/2015,54,
03/03/2015,10,
03/03/2015,126,
03/03/2015,26,
05/04/2015,47,
11/02/2016,448,
12/08/2018,110,
12/08/2018,273,
12/08/2018,20,
12/08/2018,32,
03/10/2015,23,
04/21/2015,17,
10/22/2016,6,
08/22/2016,51,
08/29/2017,28,
12/27/2015,12,
12/01/2017,173,
12/01/2017,180,
04/24/2017,259,
06/21/2015,1323,
06/21/2015,4,
01/14/2018,22,
01/14/2018,8,
11/24/2015,13,
11/24/2015,486,
11/24/2015,26,
11/24/2015,198,
02/26/2018,82,
02/26/2018,890,
02/26/2018,893,
02/26/2018,224,
02/26/2018,24,
09/15/2016,16,
09/15/2016,16,
09/15/2016,25,
09/15/2016,56,
04/08/2017,432,
04/08/2017,96,
04/08/2017,1089,
07/18/2017,545,
07/18/2017,2,
07/18/2017,855,
07/18/2017,594,
07/18/2017,339,
08/01/2018,272,
07/14/2017,12,
07/14/2017,10,
07/14/2017,15,
07/14/2017,42,
07/14/2017,9,
07/14/2017,580,
09/09/2018,142,
09/09/2018,4,
09/09/2018,5,
09/09/2018,5,
09/09/2018,96,
09/09/2018,18,
09/09/2018,259,
09/09/2018,1932,
07/12/2015,250,
07/12/2015,256,
12/04/2017,114,
12/04/2017,79,
12/04/2017,2,
12/04/2017,41,
12/04/2017,183,
12/04/2017,194,
11/06/2018,16,
11/06/2018,9,
11/06/2018,6,
10/31/2016,3,
10/31/2016,80,
05/30/2017,840,
10/28/2017,48,
10/28/2017,38,
10/28/2017,64,
10/28/2017,166,
08/11/2015,13,
08/11/2015,41,
08/11/2015,23,
08/29/2017,22,
02/15/2017,399,
02/15/2017,9,
05/14/2018,49,
12/12/2015,765,
12/12/2015,3611,
12/12/2015,255,
12/18/2018,39,
12/18/2018,1142,
12/18/2018,1705,
12/18/2018,4,
07/04/2016,1100,
03/10/2018,6,
03/10/2018,36,
03/10/2018,7,
03/10/2018,44,
12/24/2017,28,
12/24/2017,541,
12/24/2017,256,
10/23/2018,864,
10/28/2017,18,
07/07/2018,18,
10/01/2017,70,
10/01/2017,42,
09/02/2018,7,
12/24/2015,143,
12/24/2015,293,
09/23/2018,30,
06/04/2018,13,
04/21/2017,103,
04/21/2017,49,
04/21/2017,45,
05/26/2017,11,
05/26/2017,389,
05/26/2017,15,
05/26/2017,64,
05/02/2017,87,
09/08/2015,33,
09/08/2015,84,
09/05/2017,279,
04/09/2018,16,
04/09/2018,18,
04/09/2018,252,
12/06/2016,3,
06/26/2017,15,
07/04/2016,16,
11/22/2017,40,
11/22/2017,13,
11/22/2017,21,
11/10/2017,14,
11/10/2017,33,
08/27/2016,33,
08/27/2016,115,
08/27/2016,4,
05/25/2016,846,
12/30/2018,14,
12/30/2018,21,
12/08/2017,115,
10/04/2016,27,
12/23/2017,573,
12/23/2017,287,
09/19/2016,62,
07/03/2018,24,
07/03/2018,288,
07/14/2017,420,
06/20/2017,47,
06/20/2017,18,
06/20/2017,22,
06/20/2017,162,
06/20/2017,162,
12/09/2017,4,
12/09/2017,123,
09/24/2017,156,
12/18/2017,39,
12/18/2017,184,
12/18/2017,580,
12/10/2018,15,
07/01/2015,576,
07/01/2015,6,
02/03/2018,6,
02/03/2018,286,
03/03/2018,73,
10/09/2018,11,
09/28/2015,47,
05/27/2015,18,
06/14/2016,52,
03/30/2017,12,
10/15/2018,88,
05/23/2017,38,
06/02/2018,3,
06/02/2018,28,
02/16/2015,2,
02/16/2015,8,
05/06/2015,141,
05/16/2017,553,
04/02/2018,26,
03/31/2018,30,
03/31/2018,678,
03/31/2018,76,
01/02/2018,696,
01/02/2018,16,
01/02/2018,29,
05/28/2016,48,
05/28/2016,14,
03/17/2015,94,
03/17/2015,48,
03/17/2015,20,
03/17/2015,54,
03/17/2015,36,
10/03/2015,259,
03/28/2017,32,
05/04/2018,184,
05/04/2018,18,
05/04/2018,301,
07/05/2015,221,
07/05/2015,282,
05/05/2017,80,
04/26/2018,2,
09/26/2015,146,
10/19/2018,124,
10/19/2018,24,
10/19/2018,310,
11/10/2018,39,
11/10/2018,96,
11/10/2018,240,
11/10/2018,202,
11/10/2018,900,
07/08/2018,146,
12/24/2016,591,
12/24/2016,15,
03/07/2018,50,
04/01/2015,30,
04/01/2015,18,
09/14/2016,913,
08/04/2015,1090,
08/04/2015,448,
08/04/2015,17,
08/04/2015,400,
08/04/2015,159,
08/04/2015,14,
09/03/2017,84,
02/05/2017,81,
02/05/2017,349,
02/05/2017,10,
02/05/2017,19,
02/05/2017,240,
02/05/2017,168,
02/05/2017,105,
02/05/2017,485,
02/05/2017,123,
